metric,Q4_2023,Q1_2024,Q2_2024,Q3_2024
ARR,18350000,22450000,27220000,31400000
QoQ_ARR_growth,--,22.4%,21.3%,18.7%
MRR,1529167,1870833,2268333,2616667
Vehicles_under_management,24100,29700,35800,41200
Customers,46,57,67,78
Average_fleet_size_vehicles,524,521,534,528
Average_contract_value,398913,393860,406269,402564
Gross_margin,72%,73%,74%,74%
Burn_rate_monthly,1650000,1780000,1950000,2100000
Cash_on_hand,26200000,24000000,21100000,18400000
Net_revenue_retention,121%,123%,125%,127%
Customer_churn_ARR,3.8%,3.5%,3.3%,3.2%
Enterprise_AEs,4,4,5,6
Weighted_pipeline,14200000,16800000,20100000,28000000
Win_rate_all,51%,52%,54%,54%
Win_rate_vs_Samsara,35%,36%,38%,38%
Win_rate_vs_Motive,58%,60%,61%,61%
Avg_fuel_savings_delivered,12.8%,13.4%,14.0%,14.2%
Avg_overtime_reduction,17.1%,18.0%,19.1%,19.4%
Unplanned_maintenance_reduction,55%,58%,60%,61%
Driver_adoption_rate,72%,74%,76%,78%
Predictive_maint_accuracy,76%,77%,78%,79%
Predictive_maint_false_positive,27%,25%,24%,23%
Headcount,94,104,114,124
Sales_cycle_months_avg,5.2,5.6,5.9,6.1
EV_fleet_customers,4,7,9,11
