metric,Q1_2024,Q2_2024,Q3_2024,Q4_2024,FY_2024
Sites_deployed_cumulative,198,234,271,312,312
Sites_added_in_quarter,28,36,37,41,142
Fleet_capacity_MW,56.8,67.1,77.7,89.3,89.3
Fleet_capacity_MWh,113.6,134.2,155.4,178.6,178.6
ARR_service_fees,22100000,28800000,37100000,46900000,--
ARR_demand_response,3200000,4100000,5200000,6300000,--
ARR_total,25300000,32900000,42300000,53200000,53200000
Revenue_GAAP_quarterly,8900000,10200000,12100000,12900000,44100000
Gross_profit_quarterly,5200000,6300000,7600000,8200000,27300000
Gross_margin,58%,62%,63%,64%,61%
Adjusted_EBITDA,-3100000,-2600000,-1900000,-700000,-8300000
Cash_equity,28000000,26000000,24500000,22000000,22000000
Credit_facility_drawn,58000000,72000000,84000000,94000000,94000000
Credit_facility_capacity,180000000,180000000,180000000,180000000,180000000
Capex_per_site_installed,213000,208000,201000,197000,205000
Site_level_IRR,17.1%,17.6%,17.9%,18.2%,--
Average_demand_response_per_site_annual,9800,11200,13100,14000,--
Fleet_uptime,98.3%,98.5%,98.9%,98.7%,98.6%
Average_state_of_health_24mo_sites,93.1%,93.6%,94.0%,94.2%,--
Customer_churn_sites,0,0,0,0,0
NPS,68,69,70,71,--
Headcount,64,72,80,89,89
Deployment_pace_sites_per_month,9.3,12.0,12.3,13.7,11.8
